"","replicate","climate_change_affects","n","p_hat"
"54",54,"Yes",33,0.55
"55",55,"Yes",37,0.616666666666667
"56",56,"Yes",38,0.633333333333333
"57",57,"Yes",37,0.616666666666667
"58",58,"Yes",33,0.55
"59",59,"Yes",43,0.716666666666667
"60",60,"Yes",42,0.7
"61",61,"Yes",41,0.683333333333333
"62",62,"Yes",38,0.633333333333333
"63",63,"Yes",35,0.583333333333333
"64",64,"Yes",40,0.666666666666667
"65",65,"Yes",35,0.583333333333333
"66",66,"Yes",39,0.65
"67",67,"Yes",37,0.616666666666667
"68",68,"Yes",40,0.666666666666667
"69",69,"Yes",41,0.683333333333333
"70",70,"Yes",27,0.45
"71",71,"Yes",36,0.6
"72",72,"Yes",36,0.6
"73",73,"Yes",38,0.633333333333333
"74",74,"Yes",44,0.733333333333333
"75",75,"Yes",38,0.633333333333333
"76",76,"Yes",35,0.583333333333333
"77",77,"Yes",39,0.65
"78",78,"Yes",40,0.666666666666667
"79",79,"Yes",39,0.65
"80",80,"Yes",38,0.633333333333333
"81",81,"Yes",28,0.466666666666667
"82",82,"Yes",40,0.666666666666667
"83",83,"Yes",36,0.6
"84",84,"Yes",37,0.616666666666667
"85",85,"Yes",47,0.783333333333333
"86",86,"Yes",32,0.533333333333333
"87",87,"Yes",35,0.583333333333333
"88",88,"Yes",44,0.733333333333333
"89",89,"Yes",36,0.6
"90",90,"Yes",36,0.6
"91",91,"Yes",31,0.516666666666667
"92",92,"Yes",30,0.5
"93",93,"Yes",43,0.716666666666667
"94",94,"Yes",39,0.65
"95",95,"Yes",35,0.583333333333333
"96",96,"Yes",35,0.583333333333333
"97",97,"Yes",37,0.616666666666667
"98",98,"Yes",43,0.716666666666667
"99",99,"Yes",36,0.6
"100",100,"Yes",39,0.65
"101",101,"Yes",43,0.716666666666667
"102",102,"Yes",37,0.616666666666667
"103",103,"Yes",41,0.683333333333333
"104",104,"Yes",48,0.8
"105",105,"Yes",38,0.633333333333333
"106",106,"Yes",29,0.483333333333333
"107",107,"Yes",40,0.666666666666667
"108",108,"Yes",41,0.683333333333333
"109",109,"Yes",33,0.55
"110",110,"Yes",37,0.616666666666667
"111",111,"Yes",36,0.6
"112",112,"Yes",39,0.65
"113",113,"Yes",35,0.583333333333333
"114",114,"Yes",40,0.666666666666667
"115",115,"Yes",34,0.566666666666667
"116",116,"Yes",41,0.683333333333333
"117",117,"Yes",29,0.483333333333333
"118",118,"Yes",42,0.7
"119",119,"Yes",38,0.633333333333333
"120",120,"Yes",43,0.716666666666667
"121",121,"Yes",41,0.683333333333333
"122",122,"Yes",38,0.633333333333333
"123",123,"Yes",37,0.616666666666667
"124",124,"Yes",33,0.55
"125",125,"Yes",39,0.65
"126",126,"Yes",42,0.7
"127",127,"Yes",36,0.6
"128",128,"Yes",34,0.566666666666667
"129",129,"Yes",36,0.6
"130",130,"Yes",40,0.666666666666667
"131",131,"Yes",36,0.6
"132",132,"Yes",32,0.533333333333333
"133",133,"Yes",39,0.65
"134",134,"Yes",41,0.683333333333333
"135",135,"Yes",45,0.75
"136",136,"Yes",43,0.716666666666667
"137",137,"Yes",32,0.533333333333333
"138",138,"Yes",38,0.633333333333333
"139",139,"Yes",38,0.633333333333333
"140",140,"Yes",34,0.566666666666667
"141",141,"Yes",42,0.7
"142",142,"Yes",39,0.65
"143",143,"Yes",33,0.55
"144",144,"Yes",44,0.733333333333333
"145",145,"Yes",41,0.683333333333333
"146",146,"Yes",39,0.65
"147",147,"Yes",38,0.633333333333333
"148",148,"Yes",33,0.55
"149",149,"Yes",37,0.616666666666667
"150",150,"Yes",36,0.6
"151",151,"Yes",34,0.566666666666667
"152",152,"Yes",35,0.583333333333333
"153",153,"Yes",34,0.566666666666667
"154",154,"Yes",46,0.766666666666667
"155",155,"Yes",42,0.7
"156",156,"Yes",34,0.566666666666667
"157",157,"Yes",38,0.633333333333333
"158",158,"Yes",40,0.666666666666667
"159",159,"Yes",41,0.683333333333333
"160",160,"Yes",40,0.666666666666667
"161",161,"Yes",39,0.65
"162",162,"Yes",36,0.6
"163",163,"Yes",39,0.65
"164",164,"Yes",37,0.616666666666667
"165",165,"Yes",36,0.6
"166",166,"Yes",36,0.6
"167",167,"Yes",42,0.7
"168",168,"Yes",40,0.666666666666667
"169",169,"Yes",38,0.633333333333333
"170",170,"Yes",33,0.55
"171",171,"Yes",43,0.716666666666667
"172",172,"Yes",32,0.533333333333333
"173",173,"Yes",43,0.716666666666667
"174",174,"Yes",34,0.566666666666667
"175",175,"Yes",31,0.516666666666667
"176",176,"Yes",44,0.733333333333333
"177",177,"Yes",40,0.666666666666667
"178",178,"Yes",39,0.65
"179",179,"Yes",36,0.6
"180",180,"Yes",42,0.7
"181",181,"Yes",37,0.616666666666667
"182",182,"Yes",34,0.566666666666667
"183",183,"Yes",38,0.633333333333333
"184",184,"Yes",37,0.616666666666667
"185",185,"Yes",38,0.633333333333333
"186",186,"Yes",44,0.733333333333333
"187",187,"Yes",26,0.433333333333333
"188",188,"Yes",35,0.583333333333333
"189",189,"Yes",42,0.7
"190",190,"Yes",38,0.633333333333333
"191",191,"Yes",34,0.566666666666667
"192",192,"Yes",32,0.533333333333333
"193",193,"Yes",39,0.65
"194",194,"Yes",30,0.5
"195",195,"Yes",41,0.683333333333333
"196",196,"Yes",38,0.633333333333333
"197",197,"Yes",39,0.65
"198",198,"Yes",38,0.633333333333333
"199",199,"Yes",38,0.633333333333333
"200",200,"Yes",36,0.6
"201",201,"Yes",34,0.566666666666667
"202",202,"Yes",39,0.65
"203",203,"Yes",30,0.5
"204",204,"Yes",38,0.633333333333333
"205",205,"Yes",30,0.5
"206",206,"Yes",36,0.6
"207",207,"Yes",28,0.466666666666667
"208",208,"Yes",43,0.716666666666667
"209",209,"Yes",35,0.583333333333333
"210",210,"Yes",35,0.583333333333333
"211",211,"Yes",41,0.683333333333333
"212",212,"Yes",37,0.616666666666667
"213",213,"Yes",37,0.616666666666667
"214",214,"Yes",35,0.583333333333333
"215",215,"Yes",40,0.666666666666667
"216",216,"Yes",41,0.683333333333333
"217",217,"Yes",35,0.583333333333333
"218",218,"Yes",34,0.566666666666667
"219",219,"Yes",28,0.466666666666667
"220",220,"Yes",38,0.633333333333333
"221",221,"Yes",35,0.583333333333333
"222",222,"Yes",33,0.55
"223",223,"Yes",35,0.583333333333333
"224",224,"Yes",39,0.65
"225",225,"Yes",40,0.666666666666667
"226",226,"Yes",34,0.566666666666667
"227",227,"Yes",42,0.7
"228",228,"Yes",42,0.7
"229",229,"Yes",37,0.616666666666667
"230",230,"Yes",43,0.716666666666667
"231",231,"Yes",33,0.55
"232",232,"Yes",34,0.566666666666667
"233",233,"Yes",39,0.65
"234",234,"Yes",37,0.616666666666667
"235",235,"Yes",39,0.65
"236",236,"Yes",35,0.583333333333333
"237",237,"Yes",38,0.633333333333333
"238",238,"Yes",36,0.6
"239",239,"Yes",38,0.633333333333333
"240",240,"Yes",40,0.666666666666667
"241",241,"Yes",40,0.666666666666667
"242",242,"Yes",41,0.683333333333333
"243",243,"Yes",43,0.716666666666667
"244",244,"Yes",43,0.716666666666667
"245",245,"Yes",40,0.666666666666667
"246",246,"Yes",40,0.666666666666667
"247",247,"Yes",37,0.616666666666667
"248",248,"Yes",40,0.666666666666667
"249",249,"Yes",36,0.6
"250",250,"Yes",40,0.666666666666667
"251",251,"Yes",34,0.566666666666667
"252",252,"Yes",39,0.65
"253",253,"Yes",32,0.533333333333333
"254",254,"Yes",37,0.616666666666667
"255",255,"Yes",33,0.55
"256",256,"Yes",41,0.683333333333333
"257",257,"Yes",38,0.633333333333333
"258",258,"Yes",36,0.6
"259",259,"Yes",36,0.6
"260",260,"Yes",37,0.616666666666667
"261",261,"Yes",41,0.683333333333333
"262",262,"Yes",45,0.75
"263",263,"Yes",36,0.6
"264",264,"Yes",36,0.6
"265",265,"Yes",40,0.666666666666667
"266",266,"Yes",44,0.733333333333333
"267",267,"Yes",41,0.683333333333333
"268",268,"Yes",40,0.666666666666667
"269",269,"Yes",37,0.616666666666667
"270",270,"Yes",39,0.65
"271",271,"Yes",42,0.7
"272",272,"Yes",45,0.75
"273",273,"Yes",42,0.7
"274",274,"Yes",35,0.583333333333333
"275",275,"Yes",39,0.65
"276",276,"Yes",41,0.683333333333333
"277",277,"Yes",44,0.733333333333333
"278",278,"Yes",37,0.616666666666667
"279",279,"Yes",36,0.6
"280",280,"Yes",34,0.566666666666667
"281",281,"Yes",39,0.65
"282",282,"Yes",40,0.666666666666667
"283",283,"Yes",40,0.666666666666667
"284",284,"Yes",40,0.666666666666667
"285",285,"Yes",41,0.683333333333333
"286",286,"Yes",40,0.666666666666667
"287",287,"Yes",43,0.716666666666667
"288",288,"Yes",33,0.55
"289",289,"Yes",33,0.55
"290",290,"Yes",39,0.65
"291",291,"Yes",35,0.583333333333333
"292",292,"Yes",47,0.783333333333333
"293",293,"Yes",36,0.6
"294",294,"Yes",33,0.55
"295",295,"Yes",40,0.666666666666667
"296",296,"Yes",40,0.666666666666667
"297",297,"Yes",32,0.533333333333333
"298",298,"Yes",39,0.65
"299",299,"Yes",35,0.583333333333333
"300",300,"Yes",40,0.666666666666667
"301",301,"Yes",40,0.666666666666667
"302",302,"Yes",37,0.616666666666667
"303",303,"Yes",35,0.583333333333333
"304",304,"Yes",36,0.6
"305",305,"Yes",36,0.6
"306",306,"Yes",38,0.633333333333333
"307",307,"Yes",36,0.6
"308",308,"Yes",35,0.583333333333333
"309",309,"Yes",38,0.633333333333333
"310",310,"Yes",43,0.716666666666667
"311",311,"Yes",35,0.583333333333333
"312",312,"Yes",34,0.566666666666667
"313",313,"Yes",37,0.616666666666667
"314",314,"Yes",42,0.7
"315",315,"Yes",36,0.6
"316",316,"Yes",39,0.65
"317",317,"Yes",34,0.566666666666667
"318",318,"Yes",40,0.666666666666667
"319",319,"Yes",33,0.55
"320",320,"Yes",44,0.733333333333333
"321",321,"Yes",41,0.683333333333333
"322",322,"Yes",42,0.7
"323",323,"Yes",36,0.6
"324",324,"Yes",35,0.583333333333333
"325",325,"Yes",41,0.683333333333333
"326",326,"Yes",31,0.516666666666667
"327",327,"Yes",33,0.55
"328",328,"Yes",30,0.5
"329",329,"Yes",36,0.6
"330",330,"Yes",36,0.6
"331",331,"Yes",44,0.733333333333333
"332",332,"Yes",39,0.65
"333",333,"Yes",38,0.633333333333333
"334",334,"Yes",36,0.6
"335",335,"Yes",39,0.65
"336",336,"Yes",39,0.65
"337",337,"Yes",41,0.683333333333333
"338",338,"Yes",34,0.566666666666667
"339",339,"Yes",47,0.783333333333333
"340",340,"Yes",40,0.666666666666667
"341",341,"Yes",41,0.683333333333333
"342",342,"Yes",39,0.65
"343",343,"Yes",34,0.566666666666667
"344",344,"Yes",39,0.65
"345",345,"Yes",38,0.633333333333333
"346",346,"Yes",32,0.533333333333333
"347",347,"Yes",34,0.566666666666667
"348",348,"Yes",39,0.65
"349",349,"Yes",42,0.7
"350",350,"Yes",39,0.65
"351",351,"Yes",40,0.666666666666667
"352",352,"Yes",35,0.583333333333333
"353",353,"Yes",33,0.55
"354",354,"Yes",33,0.55
"355",355,"Yes",37,0.616666666666667
"356",356,"Yes",39,0.65
"357",357,"Yes",38,0.633333333333333
"358",358,"Yes",36,0.6
"359",359,"Yes",28,0.466666666666667
"360",360,"Yes",37,0.616666666666667
"361",361,"Yes",36,0.6
"362",362,"Yes",35,0.583333333333333
"363",363,"Yes",38,0.633333333333333
"364",364,"Yes",33,0.55
"365",365,"Yes",32,0.533333333333333
"366",366,"Yes",36,0.6
"367",367,"Yes",38,0.633333333333333
"368",368,"Yes",36,0.6
"369",369,"Yes",39,0.65
"370",370,"Yes",35,0.583333333333333
"371",371,"Yes",36,0.6
"372",372,"Yes",38,0.633333333333333
"373",373,"Yes",38,0.633333333333333
"374",374,"Yes",37,0.616666666666667
"375",375,"Yes",36,0.6
"376",376,"Yes",36,0.6
"377",377,"Yes",39,0.65
"378",378,"Yes",39,0.65
"379",379,"Yes",39,0.65
"380",380,"Yes",37,0.616666666666667
"381",381,"Yes",40,0.666666666666667
"382",382,"Yes",31,0.516666666666667
"383",383,"Yes",38,0.633333333333333
"384",384,"Yes",39,0.65
"385",385,"Yes",43,0.716666666666667
"386",386,"Yes",36,0.6
"387",387,"Yes",35,0.583333333333333
"388",388,"Yes",37,0.616666666666667
"389",389,"Yes",36,0.6
"390",390,"Yes",40,0.666666666666667
"391",391,"Yes",36,0.6
"392",392,"Yes",40,0.666666666666667
"393",393,"Yes",35,0.583333333333333
"394",394,"Yes",37,0.616666666666667
"395",395,"Yes",39,0.65
"396",396,"Yes",30,0.5
"397",397,"Yes",41,0.683333333333333
"398",398,"Yes",36,0.6
"399",399,"Yes",35,0.583333333333333
"400",400,"Yes",37,0.616666666666667
"401",401,"Yes",30,0.5
"402",402,"Yes",38,0.633333333333333
"403",403,"Yes",36,0.6
"404",404,"Yes",39,0.65
"405",405,"Yes",43,0.716666666666667
"406",406,"Yes",32,0.533333333333333
"407",407,"Yes",33,0.55
"408",408,"Yes",39,0.65
"409",409,"Yes",39,0.65
"410",410,"Yes",38,0.633333333333333
"411",411,"Yes",39,0.65
"412",412,"Yes",41,0.683333333333333
"413",413,"Yes",32,0.533333333333333
"414",414,"Yes",40,0.666666666666667
"415",415,"Yes",34,0.566666666666667
"416",416,"Yes",36,0.6
"417",417,"Yes",32,0.533333333333333
"418",418,"Yes",34,0.566666666666667
"419",419,"Yes",38,0.633333333333333
"420",420,"Yes",31,0.516666666666667
"421",421,"Yes",41,0.683333333333333
"422",422,"Yes",38,0.633333333333333
"423",423,"Yes",36,0.6
"424",424,"Yes",37,0.616666666666667
"425",425,"Yes",34,0.566666666666667
"426",426,"Yes",35,0.583333333333333
"427",427,"Yes",36,0.6
"428",428,"Yes",38,0.633333333333333
"429",429,"Yes",38,0.633333333333333
"430",430,"Yes",42,0.7
"431",431,"Yes",35,0.583333333333333
"432",432,"Yes",31,0.516666666666667
"433",433,"Yes",41,0.683333333333333
"434",434,"Yes",43,0.716666666666667
"435",435,"Yes",41,0.683333333333333
"436",436,"Yes",42,0.7
"437",437,"Yes",41,0.683333333333333
"438",438,"Yes",41,0.683333333333333
"439",439,"Yes",36,0.6
"440",440,"Yes",41,0.683333333333333
"441",441,"Yes",26,0.433333333333333
"442",442,"Yes",37,0.616666666666667
"443",443,"Yes",38,0.633333333333333
"444",444,"Yes",37,0.616666666666667
"445",445,"Yes",35,0.583333333333333
"446",446,"Yes",38,0.633333333333333
"447",447,"Yes",26,0.433333333333333
"448",448,"Yes",39,0.65
"449",449,"Yes",33,0.55
"450",450,"Yes",42,0.7
"451",451,"Yes",34,0.566666666666667
"452",452,"Yes",39,0.65
"453",453,"Yes",37,0.616666666666667
"454",454,"Yes",40,0.666666666666667
"455",455,"Yes",39,0.65
"456",456,"Yes",43,0.716666666666667
"457",457,"Yes",26,0.433333333333333
"458",458,"Yes",37,0.616666666666667
"459",459,"Yes",27,0.45
"460",460,"Yes",32,0.533333333333333
"461",461,"Yes",37,0.616666666666667
"462",462,"Yes",42,0.7
"463",463,"Yes",43,0.716666666666667
"464",464,"Yes",38,0.633333333333333
"465",465,"Yes",32,0.533333333333333
"466",466,"Yes",36,0.6
"467",467,"Yes",37,0.616666666666667
"468",468,"Yes",34,0.566666666666667
"469",469,"Yes",37,0.616666666666667
"470",470,"Yes",44,0.733333333333333
"471",471,"Yes",35,0.583333333333333
"472",472,"Yes",40,0.666666666666667
"473",473,"Yes",31,0.516666666666667
"474",474,"Yes",38,0.633333333333333
"475",475,"Yes",35,0.583333333333333
"476",476,"Yes",34,0.566666666666667
"477",477,"Yes",37,0.616666666666667
"478",478,"Yes",34,0.566666666666667
"479",479,"Yes",41,0.683333333333333
"480",480,"Yes",33,0.55
"481",481,"Yes",40,0.666666666666667
"482",482,"Yes",36,0.6
"483",483,"Yes",41,0.683333333333333
"484",484,"Yes",30,0.5
"485",485,"Yes",40,0.666666666666667
"486",486,"Yes",29,0.483333333333333
"487",487,"Yes",34,0.566666666666667
"488",488,"Yes",39,0.65
"489",489,"Yes",38,0.633333333333333
"490",490,"Yes",38,0.633333333333333
"491",491,"Yes",37,0.616666666666667
"492",492,"Yes",34,0.566666666666667
"493",493,"Yes",47,0.783333333333333
"494",494,"Yes",40,0.666666666666667
"495",495,"Yes",35,0.583333333333333
"496",496,"Yes",35,0.583333333333333
"497",497,"Yes",41,0.683333333333333
"498",498,"Yes",33,0.55
"499",499,"Yes",37,0.616666666666667
"500",500,"Yes",30,0.5
"501",501,"Yes",40,0.666666666666667
"502",502,"Yes",35,0.583333333333333
"503",503,"Yes",39,0.65
"504",504,"Yes",36,0.6
"505",505,"Yes",35,0.583333333333333
"506",506,"Yes",48,0.8
"507",507,"Yes",46,0.766666666666667
"508",508,"Yes",38,0.633333333333333
"509",509,"Yes",44,0.733333333333333
"510",510,"Yes",38,0.633333333333333
"511",511,"Yes",42,0.7
"512",512,"Yes",34,0.566666666666667
"513",513,"Yes",35,0.583333333333333
"514",514,"Yes",33,0.55
"515",515,"Yes",36,0.6
"516",516,"Yes",33,0.55
"517",517,"Yes",40,0.666666666666667
"518",518,"Yes",40,0.666666666666667
"519",519,"Yes",33,0.55
"520",520,"Yes",37,0.616666666666667
"521",521,"Yes",31,0.516666666666667
"522",522,"Yes",37,0.616666666666667
"523",523,"Yes",36,0.6
"524",524,"Yes",34,0.566666666666667
"525",525,"Yes",27,0.45
"526",526,"Yes",35,0.583333333333333
"527",527,"Yes",38,0.633333333333333
"528",528,"Yes",41,0.683333333333333
"529",529,"Yes",39,0.65
"530",530,"Yes",33,0.55
"531",531,"Yes",38,0.633333333333333
"532",532,"Yes",34,0.566666666666667
"533",533,"Yes",40,0.666666666666667
"534",534,"Yes",36,0.6
"535",535,"Yes",42,0.7
"536",536,"Yes",37,0.616666666666667
"537",537,"Yes",32,0.533333333333333
"538",538,"Yes",38,0.633333333333333
"539",539,"Yes",41,0.683333333333333
"540",540,"Yes",32,0.533333333333333
"541",541,"Yes",37,0.616666666666667
"542",542,"Yes",44,0.733333333333333
"543",543,"Yes",34,0.566666666666667
"544",544,"Yes",40,0.666666666666667
"545",545,"Yes",35,0.583333333333333
"546",546,"Yes",35,0.583333333333333
"547",547,"Yes",37,0.616666666666667
"548",548,"Yes",37,0.616666666666667
"549",549,"Yes",41,0.683333333333333
"550",550,"Yes",31,0.516666666666667
"551",551,"Yes",41,0.683333333333333
"552",552,"Yes",42,0.7
"553",553,"Yes",42,0.7
"554",554,"Yes",37,0.616666666666667
"555",555,"Yes",31,0.516666666666667
"556",556,"Yes",40,0.666666666666667
"557",557,"Yes",43,0.716666666666667
"558",558,"Yes",40,0.666666666666667
"559",559,"Yes",37,0.616666666666667
"560",560,"Yes",44,0.733333333333333
"561",561,"Yes",39,0.65
"562",562,"Yes",39,0.65
"563",563,"Yes",39,0.65
"564",564,"Yes",39,0.65
"565",565,"Yes",32,0.533333333333333
"566",566,"Yes",40,0.666666666666667
"567",567,"Yes",37,0.616666666666667
"568",568,"Yes",43,0.716666666666667
"569",569,"Yes",44,0.733333333333333
"570",570,"Yes",31,0.516666666666667
"571",571,"Yes",39,0.65
"572",572,"Yes",37,0.616666666666667
"573",573,"Yes",39,0.65
"574",574,"Yes",33,0.55
"575",575,"Yes",32,0.533333333333333
"576",576,"Yes",37,0.616666666666667
"577",577,"Yes",47,0.783333333333333
"578",578,"Yes",42,0.7
"579",579,"Yes",38,0.633333333333333
"580",580,"Yes",26,0.433333333333333
"581",581,"Yes",37,0.616666666666667
"582",582,"Yes",39,0.65
"583",583,"Yes",43,0.716666666666667
"584",584,"Yes",42,0.7
"585",585,"Yes",37,0.616666666666667
"586",586,"Yes",39,0.65
"587",587,"Yes",35,0.583333333333333
"588",588,"Yes",39,0.65
"589",589,"Yes",38,0.633333333333333
"590",590,"Yes",39,0.65
"591",591,"Yes",37,0.616666666666667
"592",592,"Yes",41,0.683333333333333
"593",593,"Yes",41,0.683333333333333
"594",594,"Yes",43,0.716666666666667
"595",595,"Yes",37,0.616666666666667
"596",596,"Yes",45,0.75
"597",597,"Yes",37,0.616666666666667
"598",598,"Yes",38,0.633333333333333
"599",599,"Yes",36,0.6
"600",600,"Yes",40,0.666666666666667
"601",601,"Yes",31,0.516666666666667
"602",602,"Yes",40,0.666666666666667
"603",603,"Yes",31,0.516666666666667
"604",604,"Yes",41,0.683333333333333
"605",605,"Yes",37,0.616666666666667
"606",606,"Yes",36,0.6
"607",607,"Yes",38,0.633333333333333
"608",608,"Yes",45,0.75
"609",609,"Yes",39,0.65
"610",610,"Yes",34,0.566666666666667
"611",611,"Yes",33,0.55
"612",612,"Yes",37,0.616666666666667
"613",613,"Yes",42,0.7
"614",614,"Yes",37,0.616666666666667
"615",615,"Yes",36,0.6
"616",616,"Yes",27,0.45
"617",617,"Yes",40,0.666666666666667
"618",618,"Yes",33,0.55
"619",619,"Yes",34,0.566666666666667
"620",620,"Yes",42,0.7
"621",621,"Yes",42,0.7
"622",622,"Yes",35,0.583333333333333
"623",623,"Yes",38,0.633333333333333
"624",624,"Yes",40,0.666666666666667
"625",625,"Yes",36,0.6
"626",626,"Yes",39,0.65
"627",627,"Yes",36,0.6
"628",628,"Yes",29,0.483333333333333
"629",629,"Yes",36,0.6
"630",630,"Yes",36,0.6
"631",631,"Yes",44,0.733333333333333
"632",632,"Yes",33,0.55
"633",633,"Yes",33,0.55
"634",634,"Yes",35,0.583333333333333
"635",635,"Yes",35,0.583333333333333
"636",636,"Yes",32,0.533333333333333
"637",637,"Yes",32,0.533333333333333
"638",638,"Yes",38,0.633333333333333
"639",639,"Yes",36,0.6
"640",640,"Yes",32,0.533333333333333
"641",641,"Yes",38,0.633333333333333
"642",642,"Yes",40,0.666666666666667
"643",643,"Yes",41,0.683333333333333
"644",644,"Yes",37,0.616666666666667
"645",645,"Yes",37,0.616666666666667
"646",646,"Yes",42,0.7
"647",647,"Yes",35,0.583333333333333
"648",648,"Yes",33,0.55
"649",649,"Yes",38,0.633333333333333
"650",650,"Yes",37,0.616666666666667
"651",651,"Yes",34,0.566666666666667
"652",652,"Yes",39,0.65
"653",653,"Yes",44,0.733333333333333
"654",654,"Yes",38,0.633333333333333
"655",655,"Yes",41,0.683333333333333
"656",656,"Yes",40,0.666666666666667
"657",657,"Yes",36,0.6
"658",658,"Yes",38,0.633333333333333
"659",659,"Yes",33,0.55
"660",660,"Yes",30,0.5
"661",661,"Yes",40,0.666666666666667
"662",662,"Yes",32,0.533333333333333
"663",663,"Yes",39,0.65
"664",664,"Yes",39,0.65
"665",665,"Yes",39,0.65
"666",666,"Yes",42,0.7
"667",667,"Yes",29,0.483333333333333
"668",668,"Yes",40,0.666666666666667
"669",669,"Yes",39,0.65
"670",670,"Yes",40,0.666666666666667
"671",671,"Yes",39,0.65
"672",672,"Yes",33,0.55
"673",673,"Yes",37,0.616666666666667
"674",674,"Yes",36,0.6
"675",675,"Yes",41,0.683333333333333
"676",676,"Yes",33,0.55
"677",677,"Yes",30,0.5
"678",678,"Yes",38,0.633333333333333
"679",679,"Yes",39,0.65
"680",680,"Yes",34,0.566666666666667
"681",681,"Yes",40,0.666666666666667
"682",682,"Yes",42,0.7
"683",683,"Yes",38,0.633333333333333
"684",684,"Yes",37,0.616666666666667
"685",685,"Yes",41,0.683333333333333
"686",686,"Yes",31,0.516666666666667
"687",687,"Yes",33,0.55
"688",688,"Yes",38,0.633333333333333
"689",689,"Yes",38,0.633333333333333
"690",690,"Yes",32,0.533333333333333
"691",691,"Yes",43,0.716666666666667
"692",692,"Yes",36,0.6
"693",693,"Yes",41,0.683333333333333
"694",694,"Yes",35,0.583333333333333
"695",695,"Yes",40,0.666666666666667
"696",696,"Yes",38,0.633333333333333
"697",697,"Yes",33,0.55
"698",698,"Yes",35,0.583333333333333
"699",699,"Yes",32,0.533333333333333
"700",700,"Yes",32,0.533333333333333
"701",701,"Yes",34,0.566666666666667
"702",702,"Yes",41,0.683333333333333
"703",703,"Yes",35,0.583333333333333
"704",704,"Yes",43,0.716666666666667
"705",705,"Yes",32,0.533333333333333
"706",706,"Yes",41,0.683333333333333
"707",707,"Yes",37,0.616666666666667
"708",708,"Yes",40,0.666666666666667
"709",709,"Yes",42,0.7
"710",710,"Yes",38,0.633333333333333
"711",711,"Yes",37,0.616666666666667
"712",712,"Yes",32,0.533333333333333
"713",713,"Yes",40,0.666666666666667
"714",714,"Yes",31,0.516666666666667
"715",715,"Yes",35,0.583333333333333
"716",716,"Yes",40,0.666666666666667
"717",717,"Yes",39,0.65
"718",718,"Yes",35,0.583333333333333
"719",719,"Yes",37,0.616666666666667
"720",720,"Yes",33,0.55
"721",721,"Yes",38,0.633333333333333
"722",722,"Yes",43,0.716666666666667
"723",723,"Yes",32,0.533333333333333
"724",724,"Yes",45,0.75
"725",725,"Yes",37,0.616666666666667
"726",726,"Yes",40,0.666666666666667
"727",727,"Yes",41,0.683333333333333
"728",728,"Yes",45,0.75
"729",729,"Yes",35,0.583333333333333
"730",730,"Yes",38,0.633333333333333
"731",731,"Yes",35,0.583333333333333
"732",732,"Yes",44,0.733333333333333
"733",733,"Yes",39,0.65
"734",734,"Yes",36,0.6
"735",735,"Yes",35,0.583333333333333
"736",736,"Yes",32,0.533333333333333
"737",737,"Yes",28,0.466666666666667
"738",738,"Yes",37,0.616666666666667
"739",739,"Yes",35,0.583333333333333
"740",740,"Yes",37,0.616666666666667
"741",741,"Yes",36,0.6
"742",742,"Yes",41,0.683333333333333
"743",743,"Yes",42,0.7
"744",744,"Yes",46,0.766666666666667
"745",745,"Yes",29,0.483333333333333
"746",746,"Yes",41,0.683333333333333
"747",747,"Yes",33,0.55
