replicate,scientist_work,n,p_hat
220,Doesn't benefit,7,0.14
221,Doesn't benefit,19,0.38
222,Doesn't benefit,8,0.16
223,Doesn't benefit,10,0.2
224,Doesn't benefit,5,0.1
225,Doesn't benefit,9,0.18
226,Doesn't benefit,12,0.24
227,Doesn't benefit,7,0.14
228,Doesn't benefit,8,0.16
229,Doesn't benefit,14,0.28
230,Doesn't benefit,12,0.24
231,Doesn't benefit,15,0.3
232,Doesn't benefit,9,0.18
233,Doesn't benefit,9,0.18
234,Doesn't benefit,10,0.2
235,Doesn't benefit,11,0.22
236,Doesn't benefit,12,0.24
237,Doesn't benefit,11,0.22
238,Doesn't benefit,7,0.14
239,Doesn't benefit,10,0.2
240,Doesn't benefit,7,0.14
241,Doesn't benefit,11,0.22
242,Doesn't benefit,13,0.26
243,Doesn't benefit,13,0.26
244,Doesn't benefit,7,0.14
245,Doesn't benefit,9,0.18
246,Doesn't benefit,6,0.12
247,Doesn't benefit,8,0.16
248,Doesn't benefit,14,0.28
249,Doesn't benefit,11,0.22
250,Doesn't benefit,9,0.18
251,Doesn't benefit,8,0.16
252,Doesn't benefit,2,0.04
253,Doesn't benefit,7,0.14
254,Doesn't benefit,15,0.3
255,Doesn't benefit,12,0.24
256,Doesn't benefit,11,0.22
257,Doesn't benefit,17,0.34
258,Doesn't benefit,11,0.22
259,Doesn't benefit,11,0.22
260,Doesn't benefit,6,0.12
261,Doesn't benefit,6,0.12
262,Doesn't benefit,9,0.18
263,Doesn't benefit,9,0.18
264,Doesn't benefit,12,0.24
265,Doesn't benefit,11,0.22
266,Doesn't benefit,8,0.16
267,Doesn't benefit,8,0.16
268,Doesn't benefit,11,0.22
269,Doesn't benefit,12,0.24
270,Doesn't benefit,12,0.24
271,Doesn't benefit,9,0.18
272,Doesn't benefit,9,0.18
273,Doesn't benefit,11,0.22
274,Doesn't benefit,7,0.14
275,Doesn't benefit,12,0.24
276,Doesn't benefit,11,0.22
277,Doesn't benefit,12,0.24
278,Doesn't benefit,15,0.3
279,Doesn't benefit,6,0.12
280,Doesn't benefit,8,0.16
281,Doesn't benefit,9,0.18
282,Doesn't benefit,12,0.24
283,Doesn't benefit,6,0.12
284,Doesn't benefit,11,0.22
285,Doesn't benefit,10,0.2
286,Doesn't benefit,8,0.16
287,Doesn't benefit,11,0.22
288,Doesn't benefit,13,0.26
289,Doesn't benefit,11,0.22
290,Doesn't benefit,7,0.14
291,Doesn't benefit,13,0.26
292,Doesn't benefit,8,0.16
293,Doesn't benefit,10,0.2
294,Doesn't benefit,12,0.24
295,Doesn't benefit,9,0.18
296,Doesn't benefit,9,0.18
297,Doesn't benefit,12,0.24
298,Doesn't benefit,9,0.18
299,Doesn't benefit,6,0.12
300,Doesn't benefit,10,0.2
301,Doesn't benefit,11,0.22
302,Doesn't benefit,6,0.12
303,Doesn't benefit,8,0.16
304,Doesn't benefit,11,0.22
305,Doesn't benefit,10,0.2
306,Doesn't benefit,11,0.22
307,Doesn't benefit,6,0.12
308,Doesn't benefit,16,0.32
309,Doesn't benefit,10,0.2
310,Doesn't benefit,6,0.12
311,Doesn't benefit,14,0.28
312,Doesn't benefit,12,0.24
313,Doesn't benefit,7,0.14
314,Doesn't benefit,10,0.2
315,Doesn't benefit,5,0.1
316,Doesn't benefit,9,0.18
317,Doesn't benefit,10,0.2
318,Doesn't benefit,8,0.16
319,Doesn't benefit,6,0.12
320,Doesn't benefit,12,0.24
321,Doesn't benefit,6,0.12
322,Doesn't benefit,6,0.12
323,Doesn't benefit,10,0.2
324,Doesn't benefit,20,0.4
325,Doesn't benefit,6,0.12
326,Doesn't benefit,11,0.22
327,Doesn't benefit,8,0.16
328,Doesn't benefit,10,0.2
329,Doesn't benefit,8,0.16
330,Doesn't benefit,9,0.18
331,Doesn't benefit,16,0.32
332,Doesn't benefit,8,0.16
333,Doesn't benefit,6,0.12
334,Doesn't benefit,16,0.32
335,Doesn't benefit,9,0.18
336,Doesn't benefit,12,0.24
337,Doesn't benefit,11,0.22
338,Doesn't benefit,10,0.2
339,Doesn't benefit,10,0.2
340,Doesn't benefit,9,0.18
341,Doesn't benefit,12,0.24
342,Doesn't benefit,7,0.14
343,Doesn't benefit,8,0.16
344,Doesn't benefit,14,0.28
345,Doesn't benefit,9,0.18
346,Doesn't benefit,10,0.2
347,Doesn't benefit,6,0.12
348,Doesn't benefit,9,0.18
349,Doesn't benefit,11,0.22
350,Doesn't benefit,14,0.28
351,Doesn't benefit,18,0.36
352,Doesn't benefit,13,0.26
353,Doesn't benefit,13,0.26
354,Doesn't benefit,8,0.16
355,Doesn't benefit,12,0.24
356,Doesn't benefit,9,0.18
357,Doesn't benefit,14,0.28
358,Doesn't benefit,7,0.14
359,Doesn't benefit,12,0.24
360,Doesn't benefit,17,0.34
361,Doesn't benefit,7,0.14
362,Doesn't benefit,10,0.2
363,Doesn't benefit,13,0.26
364,Doesn't benefit,10,0.2
365,Doesn't benefit,8,0.16
366,Doesn't benefit,14,0.28
367,Doesn't benefit,13,0.26
368,Doesn't benefit,14,0.28
369,Doesn't benefit,10,0.2
370,Doesn't benefit,14,0.28
371,Doesn't benefit,9,0.18
372,Doesn't benefit,8,0.16
373,Doesn't benefit,12,0.24
374,Doesn't benefit,12,0.24
375,Doesn't benefit,11,0.22
376,Doesn't benefit,7,0.14
377,Doesn't benefit,12,0.24
378,Doesn't benefit,8,0.16
379,Doesn't benefit,12,0.24
380,Doesn't benefit,9,0.18
381,Doesn't benefit,7,0.14
382,Doesn't benefit,11,0.22
383,Doesn't benefit,11,0.22
384,Doesn't benefit,18,0.36
385,Doesn't benefit,8,0.16
386,Doesn't benefit,14,0.28
387,Doesn't benefit,12,0.24
388,Doesn't benefit,13,0.26
389,Doesn't benefit,11,0.22
390,Doesn't benefit,5,0.1
391,Doesn't benefit,12,0.24
392,Doesn't benefit,10,0.2
393,Doesn't benefit,9,0.18
394,Doesn't benefit,10,0.2
395,Doesn't benefit,12,0.24
396,Doesn't benefit,7,0.14
397,Doesn't benefit,12,0.24
398,Doesn't benefit,9,0.18
399,Doesn't benefit,8,0.16
400,Doesn't benefit,6,0.12
401,Doesn't benefit,15,0.3
402,Doesn't benefit,6,0.12
403,Doesn't benefit,14,0.28
404,Doesn't benefit,10,0.2
405,Doesn't benefit,12,0.24
406,Doesn't benefit,13,0.26
407,Doesn't benefit,16,0.32
408,Doesn't benefit,9,0.18
409,Doesn't benefit,6,0.12
410,Doesn't benefit,15,0.3
411,Doesn't benefit,8,0.16
412,Doesn't benefit,13,0.26
413,Doesn't benefit,10,0.2
414,Doesn't benefit,8,0.16
415,Doesn't benefit,9,0.18
416,Doesn't benefit,14,0.28
417,Doesn't benefit,8,0.16
418,Doesn't benefit,13,0.26
419,Doesn't benefit,9,0.18
420,Doesn't benefit,11,0.22
421,Doesn't benefit,6,0.12
422,Doesn't benefit,11,0.22
423,Doesn't benefit,6,0.12
424,Doesn't benefit,10,0.2
425,Doesn't benefit,9,0.18
426,Doesn't benefit,5,0.1
427,Doesn't benefit,8,0.16
428,Doesn't benefit,7,0.14
429,Doesn't benefit,13,0.26
430,Doesn't benefit,7,0.14
431,Doesn't benefit,7,0.14
432,Doesn't benefit,11,0.22
433,Doesn't benefit,13,0.26
434,Doesn't benefit,14,0.28
435,Doesn't benefit,11,0.22
436,Doesn't benefit,14,0.28
437,Doesn't benefit,13,0.26
438,Doesn't benefit,13,0.26
439,Doesn't benefit,10,0.2
440,Doesn't benefit,9,0.18
441,Doesn't benefit,8,0.16
442,Doesn't benefit,13,0.26
443,Doesn't benefit,7,0.14
444,Doesn't benefit,7,0.14
445,Doesn't benefit,11,0.22
446,Doesn't benefit,13,0.26
447,Doesn't benefit,7,0.14
448,Doesn't benefit,8,0.16
449,Doesn't benefit,8,0.16
450,Doesn't benefit,10,0.2
451,Doesn't benefit,13,0.26
452,Doesn't benefit,12,0.24
453,Doesn't benefit,9,0.18
454,Doesn't benefit,8,0.16
455,Doesn't benefit,7,0.14
456,Doesn't benefit,11,0.22
457,Doesn't benefit,10,0.2
458,Doesn't benefit,8,0.16
459,Doesn't benefit,11,0.22
460,Doesn't benefit,13,0.26
461,Doesn't benefit,14,0.28
462,Doesn't benefit,12,0.24
463,Doesn't benefit,8,0.16
464,Doesn't benefit,9,0.18
465,Doesn't benefit,5,0.1
466,Doesn't benefit,9,0.18
467,Doesn't benefit,5,0.1
468,Doesn't benefit,11,0.22
469,Doesn't benefit,12,0.24
470,Doesn't benefit,4,0.08
471,Doesn't benefit,12,0.24
472,Doesn't benefit,12,0.24
473,Doesn't benefit,15,0.3
474,Doesn't benefit,6,0.12
475,Doesn't benefit,12,0.24
476,Doesn't benefit,9,0.18
477,Doesn't benefit,11,0.22
478,Doesn't benefit,12,0.24
479,Doesn't benefit,10,0.2
480,Doesn't benefit,9,0.18
481,Doesn't benefit,13,0.26
482,Doesn't benefit,13,0.26
483,Doesn't benefit,4,0.08
484,Doesn't benefit,10,0.2
485,Doesn't benefit,11,0.22
486,Doesn't benefit,8,0.16
487,Doesn't benefit,9,0.18
488,Doesn't benefit,11,0.22
489,Doesn't benefit,10,0.2
490,Doesn't benefit,8,0.16
491,Doesn't benefit,12,0.24
492,Doesn't benefit,7,0.14
493,Doesn't benefit,10,0.2
494,Doesn't benefit,10,0.2
495,Doesn't benefit,7,0.14
496,Doesn't benefit,6,0.12
497,Doesn't benefit,5,0.1
498,Doesn't benefit,8,0.16
499,Doesn't benefit,10,0.2
500,Doesn't benefit,13,0.26
501,Doesn't benefit,13,0.26
502,Doesn't benefit,8,0.16
503,Doesn't benefit,9,0.18
504,Doesn't benefit,12,0.24
505,Doesn't benefit,11,0.22
506,Doesn't benefit,9,0.18
507,Doesn't benefit,12,0.24
508,Doesn't benefit,14,0.28
509,Doesn't benefit,10,0.2
510,Doesn't benefit,10,0.2
511,Doesn't benefit,8,0.16
512,Doesn't benefit,14,0.28
513,Doesn't benefit,9,0.18
514,Doesn't benefit,10,0.2
515,Doesn't benefit,13,0.26
516,Doesn't benefit,11,0.22
517,Doesn't benefit,12,0.24
518,Doesn't benefit,13,0.26
519,Doesn't benefit,6,0.12
520,Doesn't benefit,10,0.2
521,Doesn't benefit,9,0.18
522,Doesn't benefit,10,0.2
523,Doesn't benefit,8,0.16
524,Doesn't benefit,7,0.14
525,Doesn't benefit,10,0.2
526,Doesn't benefit,9,0.18
527,Doesn't benefit,8,0.16
528,Doesn't benefit,10,0.2
529,Doesn't benefit,10,0.2
530,Doesn't benefit,12,0.24
531,Doesn't benefit,10,0.2
532,Doesn't benefit,9,0.18
533,Doesn't benefit,11,0.22
534,Doesn't benefit,13,0.26
535,Doesn't benefit,8,0.16
536,Doesn't benefit,9,0.18
537,Doesn't benefit,12,0.24
538,Doesn't benefit,5,0.1
539,Doesn't benefit,11,0.22
540,Doesn't benefit,11,0.22
541,Doesn't benefit,8,0.16
542,Doesn't benefit,10,0.2
543,Doesn't benefit,8,0.16
544,Doesn't benefit,7,0.14
545,Doesn't benefit,7,0.14
546,Doesn't benefit,11,0.22
547,Doesn't benefit,10,0.2
548,Doesn't benefit,10,0.2
549,Doesn't benefit,11,0.22
550,Doesn't benefit,8,0.16
551,Doesn't benefit,9,0.18
552,Doesn't benefit,11,0.22
553,Doesn't benefit,5,0.1
554,Doesn't benefit,11,0.22
555,Doesn't benefit,11,0.22
556,Doesn't benefit,12,0.24
557,Doesn't benefit,13,0.26
558,Doesn't benefit,8,0.16
559,Doesn't benefit,11,0.22
560,Doesn't benefit,9,0.18
561,Doesn't benefit,12,0.24
562,Doesn't benefit,10,0.2
563,Doesn't benefit,9,0.18
564,Doesn't benefit,5,0.1
565,Doesn't benefit,12,0.24
566,Doesn't benefit,8,0.16
567,Doesn't benefit,11,0.22
568,Doesn't benefit,13,0.26
569,Doesn't benefit,9,0.18
570,Doesn't benefit,13,0.26
571,Doesn't benefit,6,0.12
572,Doesn't benefit,15,0.3
573,Doesn't benefit,13,0.26
574,Doesn't benefit,12,0.24
575,Doesn't benefit,8,0.16
576,Doesn't benefit,12,0.24
577,Doesn't benefit,9,0.18
578,Doesn't benefit,8,0.16
579,Doesn't benefit,11,0.22
580,Doesn't benefit,7,0.14
581,Doesn't benefit,8,0.16
582,Doesn't benefit,12,0.24
583,Doesn't benefit,11,0.22
584,Doesn't benefit,9,0.18
585,Doesn't benefit,7,0.14
586,Doesn't benefit,10,0.2
587,Doesn't benefit,8,0.16
588,Doesn't benefit,9,0.18
589,Doesn't benefit,11,0.22
590,Doesn't benefit,10,0.2
591,Doesn't benefit,10,0.2
592,Doesn't benefit,8,0.16
593,Doesn't benefit,12,0.24
594,Doesn't benefit,10,0.2
595,Doesn't benefit,13,0.26
596,Doesn't benefit,6,0.12
597,Doesn't benefit,12,0.24
598,Doesn't benefit,7,0.14
599,Doesn't benefit,15,0.3
600,Doesn't benefit,8,0.16
601,Doesn't benefit,7,0.14
602,Doesn't benefit,7,0.14
603,Doesn't benefit,11,0.22
604,Doesn't benefit,14,0.28
605,Doesn't benefit,7,0.14
606,Doesn't benefit,11,0.22
607,Doesn't benefit,7,0.14
608,Doesn't benefit,8,0.16
609,Doesn't benefit,7,0.14
610,Doesn't benefit,13,0.26
611,Doesn't benefit,4,0.08
612,Doesn't benefit,10,0.2
613,Doesn't benefit,11,0.22
614,Doesn't benefit,9,0.18
615,Doesn't benefit,14,0.28
616,Doesn't benefit,12,0.24
617,Doesn't benefit,10,0.2
618,Doesn't benefit,6,0.12
619,Doesn't benefit,11,0.22
620,Doesn't benefit,10,0.2
621,Doesn't benefit,14,0.28
622,Doesn't benefit,8,0.16
623,Doesn't benefit,9,0.18
624,Doesn't benefit,6,0.12
625,Doesn't benefit,11,0.22
626,Doesn't benefit,15,0.3
627,Doesn't benefit,12,0.24
628,Doesn't benefit,13,0.26
629,Doesn't benefit,6,0.12
630,Doesn't benefit,11,0.22
631,Doesn't benefit,10,0.2
632,Doesn't benefit,11,0.22
633,Doesn't benefit,12,0.24
634,Doesn't benefit,16,0.32
635,Doesn't benefit,13,0.26
636,Doesn't benefit,14,0.28
637,Doesn't benefit,5,0.1
638,Doesn't benefit,10,0.2
639,Doesn't benefit,9,0.18
640,Doesn't benefit,7,0.14
641,Doesn't benefit,13,0.26
642,Doesn't benefit,10,0.2
643,Doesn't benefit,11,0.22
644,Doesn't benefit,7,0.14
645,Doesn't benefit,7,0.14
646,Doesn't benefit,13,0.26
647,Doesn't benefit,9,0.18
648,Doesn't benefit,11,0.22
649,Doesn't benefit,10,0.2
650,Doesn't benefit,7,0.14
651,Doesn't benefit,12,0.24
652,Doesn't benefit,8,0.16
653,Doesn't benefit,7,0.14
654,Doesn't benefit,15,0.3
655,Doesn't benefit,11,0.22
656,Doesn't benefit,6,0.12
657,Doesn't benefit,11,0.22
658,Doesn't benefit,9,0.18
659,Doesn't benefit,9,0.18
660,Doesn't benefit,8,0.16
661,Doesn't benefit,10,0.2
662,Doesn't benefit,12,0.24
663,Doesn't benefit,12,0.24
664,Doesn't benefit,9,0.18
665,Doesn't benefit,11,0.22
666,Doesn't benefit,12,0.24
667,Doesn't benefit,10,0.2
668,Doesn't benefit,11,0.22
669,Doesn't benefit,14,0.28
670,Doesn't benefit,10,0.2
671,Doesn't benefit,13,0.26
672,Doesn't benefit,14,0.28
673,Doesn't benefit,9,0.18
674,Doesn't benefit,11,0.22
675,Doesn't benefit,10,0.2
676,Doesn't benefit,10,0.2
677,Doesn't benefit,6,0.12
678,Doesn't benefit,9,0.18
679,Doesn't benefit,15,0.3
680,Doesn't benefit,11,0.22
681,Doesn't benefit,12,0.24
682,Doesn't benefit,15,0.3
683,Doesn't benefit,13,0.26
684,Doesn't benefit,11,0.22
685,Doesn't benefit,13,0.26
686,Doesn't benefit,18,0.36
687,Doesn't benefit,12,0.24
688,Doesn't benefit,10,0.2
689,Doesn't benefit,6,0.12
690,Doesn't benefit,7,0.14
691,Doesn't benefit,3,0.06
692,Doesn't benefit,10,0.2
693,Doesn't benefit,10,0.2
694,Doesn't benefit,7,0.14
695,Doesn't benefit,7,0.14
696,Doesn't benefit,15,0.3
697,Doesn't benefit,9,0.18
698,Doesn't benefit,4,0.08
699,Doesn't benefit,14,0.28
700,Doesn't benefit,11,0.22
701,Doesn't benefit,13,0.26
702,Doesn't benefit,14,0.28
703,Doesn't benefit,9,0.18
704,Doesn't benefit,9,0.18
705,Doesn't benefit,12,0.24
706,Doesn't benefit,13,0.26
707,Doesn't benefit,13,0.26
708,Doesn't benefit,13,0.26
709,Doesn't benefit,12,0.24
710,Doesn't benefit,12,0.24
711,Doesn't benefit,5,0.1
712,Doesn't benefit,10,0.2
713,Doesn't benefit,13,0.26
714,Doesn't benefit,11,0.22
715,Doesn't benefit,7,0.14
716,Doesn't benefit,11,0.22
717,Doesn't benefit,7,0.14
718,Doesn't benefit,7,0.14
719,Doesn't benefit,13,0.26
720,Doesn't benefit,14,0.28
721,Doesn't benefit,14,0.28
722,Doesn't benefit,13,0.26
723,Doesn't benefit,11,0.22
724,Doesn't benefit,13,0.26
725,Doesn't benefit,7,0.14
726,Doesn't benefit,9,0.18
727,Doesn't benefit,7,0.14
728,Doesn't benefit,12,0.24
729,Doesn't benefit,10,0.2
730,Doesn't benefit,10,0.2
731,Doesn't benefit,7,0.14
732,Doesn't benefit,10,0.2
733,Doesn't benefit,9,0.18
734,Doesn't benefit,13,0.26
735,Doesn't benefit,9,0.18
736,Doesn't benefit,8,0.16
737,Doesn't benefit,7,0.14
738,Doesn't benefit,10,0.2
739,Doesn't benefit,10,0.2
740,Doesn't benefit,6,0.12
741,Doesn't benefit,11,0.22
742,Doesn't benefit,9,0.18
743,Doesn't benefit,4,0.08
744,Doesn't benefit,13,0.26
745,Doesn't benefit,11,0.22
746,Doesn't benefit,7,0.14
747,Doesn't benefit,8,0.16
748,Doesn't benefit,7,0.14
749,Doesn't benefit,10,0.2
750,Doesn't benefit,12,0.24
751,Doesn't benefit,7,0.14
752,Doesn't benefit,10,0.2
753,Doesn't benefit,10,0.2
754,Doesn't benefit,15,0.3
755,Doesn't benefit,10,0.2
756,Doesn't benefit,12,0.24
757,Doesn't benefit,18,0.36
758,Doesn't benefit,8,0.16
759,Doesn't benefit,6,0.12
760,Doesn't benefit,10,0.2
761,Doesn't benefit,6,0.12
762,Doesn't benefit,8,0.16
763,Doesn't benefit,10,0.2
764,Doesn't benefit,13,0.26
765,Doesn't benefit,10,0.2
766,Doesn't benefit,9,0.18
767,Doesn't benefit,9,0.18
768,Doesn't benefit,8,0.16
769,Doesn't benefit,12,0.24
770,Doesn't benefit,12,0.24
771,Doesn't benefit,10,0.2
772,Doesn't benefit,5,0.1
773,Doesn't benefit,11,0.22
774,Doesn't benefit,13,0.26
775,Doesn't benefit,13,0.26
776,Doesn't benefit,10,0.2
777,Doesn't benefit,13,0.26
778,Doesn't benefit,9,0.18
779,Doesn't benefit,11,0.22
780,Doesn't benefit,11,0.22
781,Doesn't benefit,8,0.16
782,Doesn't benefit,7,0.14
783,Doesn't benefit,9,0.18
784,Doesn't benefit,10,0.2
785,Doesn't benefit,10,0.2
786,Doesn't benefit,10,0.2
787,Doesn't benefit,7,0.14
788,Doesn't benefit,11,0.22
789,Doesn't benefit,9,0.18
790,Doesn't benefit,9,0.18
791,Doesn't benefit,14,0.28
792,Doesn't benefit,10,0.2
793,Doesn't benefit,11,0.22
794,Doesn't benefit,11,0.22
795,Doesn't benefit,9,0.18
796,Doesn't benefit,13,0.26
797,Doesn't benefit,9,0.18
798,Doesn't benefit,10,0.2
799,Doesn't benefit,11,0.22
800,Doesn't benefit,10,0.2
801,Doesn't benefit,8,0.16
802,Doesn't benefit,7,0.14
803,Doesn't benefit,7,0.14
804,Doesn't benefit,8,0.16
805,Doesn't benefit,11,0.22
806,Doesn't benefit,8,0.16
807,Doesn't benefit,10,0.2
808,Doesn't benefit,9,0.18
809,Doesn't benefit,10,0.2
810,Doesn't benefit,13,0.26
811,Doesn't benefit,15,0.3
812,Doesn't benefit,8,0.16
813,Doesn't benefit,7,0.14
814,Doesn't benefit,11,0.22
815,Doesn't benefit,12,0.24
816,Doesn't benefit,10,0.2
817,Doesn't benefit,12,0.24
818,Doesn't benefit,6,0.12
819,Doesn't benefit,10,0.2
820,Doesn't benefit,5,0.1
821,Doesn't benefit,11,0.22
